cond,block,white_point,gamma,chroma_gamma,saturation,value_in,hue_in_deg,chroma_out,lum_out,hue_out_deg
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,120.0,33.4,93.7,140.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,150.0,37.5,106.75,168.0
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,180.0,59.12,119.53,197.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,210.0,71.93,116.88,207.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,240.0,61.19,93.73,217.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,270.0,52.04,52.01,233.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,300.0,38.24,14.11,354.4
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,81,330.0,4.08,247.93,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,0.0,167.6,64.74,8.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,30.0,168.89,104.89,31.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,60.0,164.28,144.81,44.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,90.0,93.57,149.56,54.2
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,120.0,33.21,149.31,81.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,150.0,19.28,188.52,106.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,180.0,30.26,193.66,200.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,210.0,54.18,166.99,209.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,240.0,48.62,182.54,210.1
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,270.0,15.62,158.62,332.6
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,300.0,81.36,84.49,356.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,122,330.0,5.06,249.03,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,0.0,184.59,128.15,11.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,30.0,159.66,173.9,28.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,60.0,122.17,209.39,53.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,90.0,89.87,203.24,49.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,120.0,34.88,190.97,64.1
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,150.0,13.29,231.93,103.6
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,180.0,17.01,236.99,189.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,210.0,36.16,200.63,207.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,240.0,32.9,221.03,202.2
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,270.0,2.62,251.22,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,300.0,110.43,173.68,10.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,163,330.0,6.28,251.0,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,0.0,102.95,174.87,13.8
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,30.0,88.8,217.71,45.6
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,60.0,73.63,230.44,60.0
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,90.0,71.12,228.62,54.4
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,120.0,40.58,210.76,54.8
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,150.0,7.94,250.31,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,180.0,5.07,249.17,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,210.0,18.41,222.3,187.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,240.0,15.3,241.38,193.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,270.0,0.04,254.99,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,300.0,10.29,244.89,7.4
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,204,330.0,1.73,252.47,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,0.0,34.92,215.28,17.2
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,30.0,31.83,244.17,59.3
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,60.0,31.7,244.4,59.9
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,90.0,27.53,245.79,60.1
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,120.0,19.18,241.62,66.8
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,150.0,5.06,252.54,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,180.0,4.25,253.5,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,210.0,10.28,236.36,165.7
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,240.0,15.02,245.61,187.5
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,270.0,0.01,255.0,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,300.0,1.3,253.67,
huevalue_wp0.0_g1.0_k1.5_s1.0,main,0.0,1.0,1.5,1.0,245,330.0,3.69,250.82,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,0.0,0.2,66.6,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,30.0,8.04,12.11,14.3
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,60.0,1.62,0.55,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,90.0,0.53,0.79,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,120.0,1.01,53.28,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,150.0,4.59,54.62,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,180.0,12.44,59.5,215.7
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,210.0,37.72,64.43,221.5
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,240.0,32.67,11.92,236.7
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,270.0,14.0,4.74,240.3
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,300.0,1.61,17.44,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,40,330.0,8.01,244.87,342.7
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,0.0,74.95,31.36,7.6
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,30.0,75.42,38.25,30.9
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,60.0,48.71,32.75,59.3
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,90.0,39.68,52.52,88.9
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,120.0,31.77,95.05,136.2
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,150.0,41.1,110.9,174.5
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,180.0,54.94,122.92,193.5
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,210.0,65.0,122.05,207.8
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,240.0,51.18,100.49,218.6
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,270.0,53.0,55.25,230.2
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,300.0,30.16,14.52,345.0
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,81,330.0,3.19,248.42,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,0.0,138.23,91.7,18.4
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,30.0,135.45,129.39,30.5
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,60.0,126.36,164.21,43.3
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,90.0,73.88,172.72,55.1
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,120.0,32.35,171.57,71.1
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,150.0,17.88,198.44,93.1
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,180.0,29.14,196.3,199.5
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,210.0,47.7,177.06,210.2
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,240.0,37.16,182.52,215.3
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,270.0,11.69,160.78,322.4
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,300.0,59.79,100.24,356.7
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,122,330.0,2.46,248.73,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,0.0,122.4,161.53,12.7
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,30.0,105.98,199.59,29.4
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,60.0,78.27,225.62,53.5
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,90.0,59.11,219.24,52.9
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,120.0,25.36,218.87,71.6
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,150.0,8.42,242.67,121.0
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,180.0,18.3,236.98,190.9
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,210.0,29.62,211.83,202.6
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,240.0,24.94,233.19,197.5
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,270.0,2.45,252.28,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,300.0,86.67,188.6,10.2
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,163,330.0,4.88,251.81,
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,0.0,37.7,223.1,18.3
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,30.0,30.39,244.78,59.9
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,60.0,29.75,245.06,60.0
huevalue_wp0.0_g1.0_k2.0_s1.0,main,0.0,1.0,2.0,1.0,204,90.0,34.01,239.42,57.5
