cond,white_point,gamma,chroma_gamma,saturation,period_px,orientation,contrast_in,modulation_out,retained
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,12,d,80,43.33,0.307
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,16,d,80,69.33,0.491
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,24,d,80,98.33,0.696
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,32,d,80,101.0,0.715
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,48,d,80,141.33,1.0
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,8,h,180,0.68,0.003
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,12,h,180,56.56,0.265
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,16,h,180,101.89,0.477
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,24,h,180,119.35,0.559
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,32,h,180,137.94,0.646
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,48,h,180,213.49,1.0
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,8,v,180,4.1,0.018
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,12,v,180,52.33,0.232
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,16,v,180,128.94,0.572
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,24,v,180,215.13,0.955
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,32,v,180,139.51,0.619
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,48,v,180,225.24,1.0
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,8,d,180,66.67,0.319
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,12,d,180,65.67,0.314
linepairs_wp0.75_g1.0_k1.0_s1.0,0.75,1.0,1.0,1.0,16,d,180,131.33,0.629
